2020-04-16T20:51:37+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-content\plugins\facebook-for-woocommerce\vendor\skyverge\wc-plugin-framework\woocommerce\rest-api\class-sv-wc-plugin-rest-api.php, na linha 27

2020-04-16T20:52:29+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-admin\includes\screen.php, na linha 19

2020-04-16T21:18:43+00:00 CRITICAL Out of memory (allocated 10485760) (tried to allocate 32768 bytes), em C:\xampp\htdocs\erpb2m\wp-content\plugins\woocommerce\includes\class-wc-product-variation.php, na linha 386

2020-04-16T21:46:29+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-content\plugins\elementor\includes\autoloader.php, na linha 267

2020-04-16T21:46:42+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-includes\Requests\Response\Headers.php, na linha 13

2020-04-16T21:46:51+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-content\plugins\wpforms-lite\includes\admin\importers\class-contact-form-7.php, na linha 7

2020-04-16T21:50:37+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-includes\pluggable-deprecated.php, na linha 18

2020-04-16T21:50:38+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-includes\widgets\class-wp-widget-media.php, na linha 17

2020-04-16T21:50:38+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-includes\widgets\class-wp-widget-media-audio.php, na linha 18

2020-04-16T21:58:00+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-content\plugins\elementor\includes\autoloader.php, na linha 267

2020-04-16T21:58:19+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-includes\wp-db.php, na linha 2030

2020-04-16T22:12:35+00:00 CRITICAL Maximum execution time of 120 seconds exceeded, em C:\xampp\htdocs\erpb2m\wp-includes\wp-db.php, na linha 2030

